name,part,way,img,detail
칼륨 듬뿍 고구마죽,후식,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00017_1.png,"고구마죽
고구마 100g(2/3개), 설탕 2g(1/3작은술), 찹쌀가루 3g(2/3작은술),물 200ml(1컵), 잣 8g(8알)"
누룽지 두부 계란죽,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00016_1.png,"채소준비
애호박 30g(1/6개), 표고버섯 20g(2개), 당근 5g(3×2×1cm)
누룽지 죽
누룽지 70g(1/3컵), 순두부 100g(1/4모), 달걀 50g(1개),참기름 3g(2/3작은술), 소금 약간, 참깨 약간, 흰 후추 약간"
오색지라시 스시,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00009_1.png,"초밥
밥 210g(1공기)
배합초
식초 20g(1⅓큰술), 설탕 10g(2작은술), 소금 약간
오색지라시
달걀노른자 40g(달걀2개), 표고버섯 10g(1장), 새송이버섯 20g(3개), 새우 25g(4마리), 홍피망 10g(1/8개), 청피망 10g(1/8개), 양파 5g(5×1cm), 대두유 20g(1⅓큰술), 참기름 10g(2작은술), 식용유 약간"
두부 곤약 나물 비빔밥,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00010_1.png,"두부 곤약잡곡밥
두부 110g(⅓모), 흰쌀 15g, 현미쌀 3g, 찹쌀 3g, 실곤약 3g
나물준비
콩나물 15g(15개), 표고버섯 4g(1/2장), 애호박 10g(5×2×1cm), 고사리 15g(7줄기), 당근 15g(5×3×1cm), 소금 3g(2/3작은술), 소금 약간(나물데침)
비빔고추장 소스
초고추장 5g(1작은술), 플레인요거트 10g(2작은술), 참기름 2g(1/3작은술)
곁들임
새싹채소 3g"
저염 간장을 이용한 닭개장 비빔밥,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00011_1.png,"흑미밥
쌀 90g, 검은 쌀 10g
닭가슴살 삶기
닭가슴살 40g(1/3개), 월계수 잎 2장, 후추 약간
나물준비
숙주 20g(1/20봉지), 토란대 20g(5cm, 5개), 고사리 20g(10줄기)
고명
달걀 50g(1개), 대파 10g(5cm), 들기름 5g(1작은술), 실고추약간, 소금약간
들깨 소스
들깨가루 15g(1큰술), 고추기름 10g(2작은술), 꿀 8g(1⅔작은술), 저염간장 8g(1⅔작은술)"
취나물 비빔밥 & 청국장 쌈장,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00012_1.png,"취나물밥
밥 210g(1공기), 다진 쇠고기 20g(1⅓큰술), 취나물 20g(8줄기), 다진 양파 5g(1작은술), 다진마늘 5g(1작은술), 간장 약간, 매실즙 3g(2/3작은술), 참기름 2g(1/3작은술), 참깨 5g(1작은술), 소금 약간
청국장쌈장
청국장 20g(1⅓큰술), 된장 2g(1/3작은술), 콩가루 5g(1작은술), 멸치가루 2g(1/3작은술), 쌀뜨물 30g(2큰술), 다진 양파 7g(1/2큰술), 다진 호박 7g(1/2큰술), 다진 당근 7g(1/2큰술), 다진 표고버섯 7g(1/2큰술), 다진 호두 5g(1작은술), 참기름 2g(1/3작은술)"
해물 채소장을 넣은 곰취 쌈밥,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00013_1.png,"잡곡밥
잡곡밥 140g(2/3공기)
곰취쌈
곰취 30g, 소금 약간
해물채소장
조갯살 10g, 새우살 10g, 오징어살 15g, 감자 18g(1/6개), 애호박 18g(1/9개), 양파 15g(1/8개), 청양고추 2g(1/5개), 표고버섯 5g(1/2장), 대파 2g(1cm), 마늘 3g(1/2쪽), 쌈장 10g(2작은술), 설탕 약간, 참기름 약간, 카놀라유 5g(1작은술), 고춧가루 약간
무초절임
무 65g(6×5×2cm), 식초 30g(2큰술), 설탕 15g(1큰술), 물 50ml(1/4컵)"
단호박 케일밥,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00014_1.png,"단호박찰밥
찹쌀 100g, 밤 30g(3개), 은행 20g(8알), 잣 10g(10알), 단호박 40g(4×8cm), 대추 5g(2개), 케일 3장(연잎도 가능)
케일소스
케일이 쪄진 물 100ml(1/2컵), 설탕 15g(1큰술)"
오색영양밥 롤,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00015_1.png,"영양밥
찹쌀 100g, 흑미30g, 바지락 50g(16개), 강낭콩 15g(1큰술), 완두콩 15g(1큰술), 메주콩 15g(1큰술), 은행 10g(4알)
오색준비
달걀 100g(2개), 애호박 60g(1/3개), 가지 40g(1/4개), 당근 40g(1/4개), 표고버섯 30g(2장), 대추 10g(5개)
호두 소스
다진 호두 10g(2작은술), 잣가루 2g(1/3작은술), 참기름 20g(1⅓큰술)
곁들임
치자가루 5g(1작은술), 연근 6g(1cm), 식초 5g(1작은술), 카놀라유10g(2작은술), 새싹채소 6g"
새우 두부 계란찜,반찬,찌기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00028_1.png,"새우두부계란찜
연두부 75g(3/4모), 칵테일새우 20g(5마리), 달걀 30g(1/2개), 생크림 13g(1큰술), 설탕 5g(1작은술), 무염버터 5g(1작은술)
고명
시금치 10g(3줄기)"
