name,part,way,img,detail,manual,number,step
칼륨 듬뿍 고구마죽,후식,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00017_1.png,"고구마죽
고구마 100g(2/3개), 설탕 2g(1/3작은술), 찹쌀가루 3g(2/3작은술),물 200ml(1컵), 잣 8g(8알)","['1. 고구마는 깨끗이 씻어서 껍질을 벗기고 4cm 정도로 잘라준다.a', '2. 찜기에 고구마를 넣고 20~30분 정도 삶아 주고, 블렌더나 체를 이용하여 잘 으깨어 곱게 만든다.b', '3. 고구마와 물을 섞어 끓이면서 찹쌀가루로 농도를 맞추고 설탕을 넣어 맛을 낸다.c', '4. 잣을 팬에 노릇하게 볶아 다져서 고구마 죽에 섞는다. 기호에 따라 고구마를 튀겨 얹어 먹어도 좋다.']",0,vegan
누룽지 두부 계란죽,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00016_1.png,"채소준비
애호박 30g(1/6개), 표고버섯 20g(2개), 당근 5g(3×2×1cm)
누룽지 죽
누룽지 70g(1/3컵), 순두부 100g(1/4모), 달걀 50g(1개),참기름 3g(2/3작은술), 소금 약간, 참깨 약간, 흰 후추 약간","['1. 깨끗이 씻어 손질한 애호박, 당근과 기둥을 뗀 표고버섯을 잘게 다지듯이 썬다.a', '2. 누룽지는 1cm 정도로 잘게 부숴준다.b', '3. 냄비에 참기름을 두르고 썰어놓은 채소를 볶다가 누룽지와 물을 넣고 끓인다.', '4. 누룽지가 살짝 퍼지면 순두부를 넣고 흰후추와 소금을 넣는다.', '5. 죽이 끓으면 달걀을 풀어 넣고 한 소끔 끓여낸 후 참깨를 뿌려 마무리 한다.c']",0 4,ovo
오색지라시 스시,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00009_1.png,"초밥
밥 210g(1공기)
배합초
식초 20g(1⅓큰술), 설탕 10g(2작은술), 소금 약간
오색지라시
달걀노른자 40g(달걀2개), 표고버섯 10g(1장), 새송이버섯 20g(3개), 새우 25g(4마리), 홍피망 10g(1/8개), 청피망 10g(1/8개), 양파 5g(5×1cm), 대두유 20g(1⅓큰술), 참기름 10g(2작은술), 식용유 약간","['1. 배합초는 중불에서 설탕이 녹을 때까지 저어가면서 녹인다.', '2. 뜨거운 밥에 배합초를 넣어서 밥알이 으깨지지 않게 고루 저어가면서 밥을 체온 정도로 식힌다.a', '3. 표고버섯은 기둥을 떼고 끓는 물에 데친 후 찬물에 헹궈 물기를 없애고 얇게 썰어 달궈진 팬에 참기름을 두르고 볶는다.', '4. 새송이버섯은 세로로 얇게 썰어 달궈진 팬에 참기름을 두르고 볶는다.b', '5. 달걀노른자를 고루 풀어 약한 불에 지단을 부친 후 채썬다.', '6. 청피망과 홍피망은 채를 썬후 달궈진 팬에 기름을 두르고 볶는다.', '7. 양파는 채를 썰어 찬물에 담가 매운맛을 제거한 뒤 달궈진 팬에 기름을 두르고 살짝 볶는다.', '8. 새우는 껍질을 벗기고 등쪽 2~3마디에 있는 내장을 꼬챙이로 꺼내고 물에 헹궈 물기를 뺀 다음 기름을 두르고 볶는다.', '9. 초밥 위에 청피망, 홍피망, 양파, 달걀노른자, 새송이버섯, 표고버섯, 새우를 가지런히 놓는다.c']",0 3 4,pesco
두부 곤약 나물 비빔밥,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00010_1.png,"두부 곤약잡곡밥
두부 110g(⅓모), 흰쌀 15g, 현미쌀 3g, 찹쌀 3g, 실곤약 3g
나물준비
콩나물 15g(15개), 표고버섯 4g(1/2장), 애호박 10g(5×2×1cm), 고사리 15g(7줄기), 당근 15g(5×3×1cm), 소금 3g(2/3작은술), 소금 약간(나물데침)
비빔고추장 소스
초고추장 5g(1작은술), 플레인요거트 10g(2작은술), 참기름 2g(1/3작은술)
곁들임
새싹채소 3g","['1. 고사리는 상태에 따라 2~5시간 정도 불린 후 30분 정도 삶아 찬물에 헹구어 물기를 짠다.', '2. 콩나물은 다듬어서 끓는 물에 데친후 건져 식힌다.', '3. 불린 표고버섯은 물기를 짜서 채를 썰고, 당근, 애호박은 길이 3cm 정도로 채를 썰어 끓는 소금물에 살짝 데쳐 찬물에 헹구어 물기를 짜서 준비한다.a', '4. 흰쌀, 현미쌀, 찹쌀을 깨끗하게 씻고, 30분 이상 불려 쌀에 1.2배의 물을 붓고 곤약을 넣어 밥을 짓는다.', '5. 그릇에 밥과 준비된 재료를 넣어 소금으로 간을 하여 고루 버무려 준다.', '6. 초고추장, 플레인요거트와 참기름을 섞어 비빔고추장 소스를 준비한다.c', '7. 두부는 1.5×1.5×3cm로 자르고 잠길 만큼의 물을 붓고 3~4분정도 끓인 후 속을 파내어 그 속에 버무린 밥을 올린다.b', '8. 새싹채소를 올려 준 후, 비빔고추 장소스를 곁들여 준다.']",0 5,lacto
저염 간장을 이용한 닭개장 비빔밥,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00011_1.png,"흑미밥
쌀 90g, 검은 쌀 10g
닭가슴살 삶기
닭가슴살 40g(1/3개), 월계수 잎 2장, 후추 약간
나물준비
숙주 20g(1/20봉지), 토란대 20g(5cm, 5개), 고사리 20g(10줄기)
고명
달걀 50g(1개), 대파 10g(5cm), 들기름 5g(1작은술), 실고추약간, 소금약간
들깨 소스
들깨가루 15g(1큰술), 고추기름 10g(2작은술), 꿀 8g(1⅔작은술), 저염간장 8g(1⅔작은술)","['1. 쌀은 30분 정도 불린 후 물을 1:1로 하여 밥을 짓는다.', '2. 숙주는 끓는 소금물에 넣어 숨이 죽으면 찬물에 헹구어 물기를 뺀다.', '3. 고사리는 상태에 따라 2~5시간정도 불린 후 30분 정도 삶아 찬물에 헹구어 물기를 짠다.a', '4. 말린 토란대는 미지근한 물에 하루정도 담갔다가 끓는 물에 넣어 끓이다가 물러지면 꺼내어 미지근한 물에 1~2일 담구어 아린 맛을 뺀다.', '5. 숙주, 토란대, 고사리는 따로 들기름에 살짝 볶아 준다.', '6. 대파는 파채를 썰은 후 물에 담가매운맛을 제거한다.', '7. 달걀은 지단을 부치고 채를 썬다.', '8. 닭가슴살은 손질을 하여 냄비에 잠길 정도로 물을 붓고 누린내 제거를 위해 월계수잎과 후추를 넣고 15~20분 정도 삶아 식혀서 고기의 결대로 찢는다.b', '9. 들깨가루, 고추기름, 꿀, 저염간장을 함께 섞어 소스를 만든다.c', '10. 그릇에 밥을 담고 준비된 고명을 올린 후 소스를 곁들인다.']",0 2 4,pollo
취나물 비빔밥 & 청국장 쌈장,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00012_1.png,"취나물밥
밥 210g(1공기), 다진 쇠고기 20g(1⅓큰술), 취나물 20g(8줄기), 다진 양파 5g(1작은술), 다진마늘 5g(1작은술), 간장 약간, 매실즙 3g(2/3작은술), 참기름 2g(1/3작은술), 참깨 5g(1작은술), 소금 약간
청국장쌈장
청국장 20g(1⅓큰술), 된장 2g(1/3작은술), 콩가루 5g(1작은술), 멸치가루 2g(1/3작은술), 쌀뜨물 30g(2큰술), 다진 양파 7g(1/2큰술), 다진 호박 7g(1/2큰술), 다진 당근 7g(1/2큰술), 다진 표고버섯 7g(1/2큰술), 다진 호두 5g(1작은술), 참기름 2g(1/3작은술)","['1. 끓는 소금물에 취나물을 데쳐 찬물에 헹구어 물기를 짜고 1.5cm 정도로 썰어 참기름과 참깨에 무친다.a', '2. 쇠고기를 곱게 다지고 다진 양파와 마늘, 간장, 매실즙을 넣고 양념하여 달궈진 프라이팬에 볶는다.', '3. 준비된 밥에 (1)과 (2)를 넣고 잘 섞는다.', '4. 다진 표고버섯, 양파, 호박, 당근, 호두를 달군 프라이팬에 참기름을 넣고 모두 볶는다.b', '5. 청국장, 된장을 쌀뜨물에 잘 풀고, 콩가루, 멸치가루와 볶아 놓은 재료(4)를 넣고 한소끔 끓인다.', '6. 취나물밥과 청국장 쌈장을 같이 곁들인다.c']",0 1 3,flex
해물 채소장을 넣은 곰취 쌈밥,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00013_1.png,"잡곡밥
잡곡밥 140g(2/3공기)
곰취쌈
곰취 30g, 소금 약간
해물채소장
조갯살 10g, 새우살 10g, 오징어살 15g, 감자 18g(1/6개), 애호박 18g(1/9개), 양파 15g(1/8개), 청양고추 2g(1/5개), 표고버섯 5g(1/2장), 대파 2g(1cm), 마늘 3g(1/2쪽), 쌈장 10g(2작은술), 설탕 약간, 참기름 약간, 카놀라유 5g(1작은술), 고춧가루 약간
무초절임
무 65g(6×5×2cm), 식초 30g(2큰술), 설탕 15g(1큰술), 물 50ml(1/4컵)","['1. 잡곡을 깨끗하게 씻고 물에 30분 정도 불려 물을 1:1로 하여 밥이 끓으면 약한 불로 줄이고 뜸을 들여 고슬고슬한 밥을 지어 한입 크기로 뭉쳐 놓는다.a', '2. 무는 채를 썰어 초절임물에 절여 놓는다.', '3. 감자, 애호박, 양파, 청양고추, 표고버섯, 대파, 마늘을 잘게 다져 준비하고 조갯살, 새우살, 오징어살을 곱게 다진다.', '4. 달궈진 프라이팬에 기름을 두르고, 감자를 먼저 볶다가 투명해지면 나머지 채소를 볶는다.b', '5. 다른 팬에 기름을 두르고 다진 해 산물을 볶아 준비한다.', '6. 볶은 채소 팬(4)에 볶은 해산물(5)을 넣고 쌈장, 고춧가루, 설탕, 참기름을 넣어 되직하게 볶아 쌈장을 완성한다.', '7. 곰취는 끓는 소금물에 데쳐 찬물에 식힌 후 물기를 제거하여 준비 한다.c', '8. 곰취잎을 넓게 편 후 잡곡밥과 무채절임, 쌈장을 넣고 먹기 좋은 크기로 말아 완성한다.']",0 3,pesco
단호박 케일밥,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00014_1.png,"단호박찰밥
찹쌀 100g, 밤 30g(3개), 은행 20g(8알), 잣 10g(10알), 단호박 40g(4×8cm), 대추 5g(2개), 케일 3장(연잎도 가능)
케일소스
케일이 쪄진 물 100ml(1/2컵), 설탕 15g(1큰술)","['1. 찹쌀을 깨끗이 씻어 물에 30분 정도 불린다.', '2. 대추는 씨를 제거하고 돌려깎은후 채를 썰고, 밤은 껍질을 벗기고 4등분한다.', '3. 잣은 꼭지를 떼고, 은행은 프라이 팬에 볶아 껍질을 제거한다.', '4. 단호박은 물에 씻은 후 씨와 껍질 을 제거하고 사방 1cm 크기로 썬다.a', '5. 불린 찹쌀을 찜기에 올려 40분 정도 찐다', '6. 어느 정도 쪄진 찹쌀에 대추, 밤,은행, 단호박, 잣을 넣고 버무려 20분간 더 쪄서 한입 크기로 준비한다.b', '7. 케일을 깨끗이 씻어 끓는 물에 살짝 데친 뒤 찬물에 헹구어 물기를 뺀다.c', '8. 소스팬에 케일을 데치고 남은 물과 설탕을 넣고 5분 정도 끓여 케일소스를 만든다.', '9. 케일 잎에 밥을 얹고 소스를 곁들인다.']",0,vegan
오색영양밥 롤,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00015_1.png,"영양밥
찹쌀 100g, 흑미30g, 바지락 50g(16개), 강낭콩 15g(1큰술), 완두콩 15g(1큰술), 메주콩 15g(1큰술), 은행 10g(4알)
오색준비
달걀 100g(2개), 애호박 60g(1/3개), 가지 40g(1/4개), 당근 40g(1/4개), 표고버섯 30g(2장), 대추 10g(5개)
호두 소스
다진 호두 10g(2작은술), 잣가루 2g(1/3작은술), 참기름 20g(1⅓큰술)
곁들임
치자가루 5g(1작은술), 연근 6g(1cm), 식초 5g(1작은술), 카놀라유10g(2작은술), 새싹채소 6g","['1. 바지락은 소금물에 20~30분정도 담근 후, 2~3번 헹구어 해감하고 바지락이 살짝 벌어질 때까지 삶는다.a', '2. 불린 찹쌀과 흑미를 섞고 바지락 삶은 물을 넣어 1:1로 고슬고슬한 밥을 한다.', '3. 강낭콩, 메주콩, 완두콩은 콩의 두배의 물로 불린 후 콩과 물을 1:2.5로 넣고 20~25분 정도 무르게 삶아준다.', '4. 애호박, 당근, 가지, 표고버섯은 길이로 얇게 썬다.b', '5. 달걀을 풀어 약한 불에 지단을 부치고 애호박, 가지, 당근과 표고버섯은 볶는다.', '6. 대추는 씨를 빼고 돌려 깍은 후 돌돌 말아 준비한다.', '7. 김발 위에 지단을 놓고 애호박, 당근, 가지를 차례대로 올리고, 밥과 강남콩, 메주콩, 완두콩을 올리고 대추말이와 표고버섯을 넣어 돌돌 말아준다.c', '8. 다진 호두, 잣가루, 참기름을 섞어 고소한 소스를 만든다.', '9. 연근은 얇게 썰어 끓는 물에 식초를 넣고 데쳐서 치자로 물을 들이 고 물기를 빼 준 후에 달궈진 팬에 기름을 두르고 바삭하게 구워준다.', '10. 롤을 한입 크기로 썰어 접시에 담고 연근과 새싹채소를 올리고 호두 소스를 곁들인다.']",0 3 4,pesco
새우 두부 계란찜,반찬,찌기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00028_1.png,"새우두부계란찜
연두부 75g(3/4모), 칵테일새우 20g(5마리), 달걀 30g(1/2개), 생크림 13g(1큰술), 설탕 5g(1작은술), 무염버터 5g(1작은술)
고명
시금치 10g(3줄기)","['1. 손질된 새우를 끓는 물에 데쳐 건진다.a', '2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.b', '3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.c']",0 3 4 5,pesco
